priority_rank,admin2_name,admin1_name,admin2_pcode,priority_tier,priority_score,disaster_score,poverty_score,flood_extent_pct,chirps_mean_mm,floodscan_mean,MPI,Headcount Ratio,In Severe Poverty,ipc_phase3plus_pct,ipc_phase_label,population_2026,affected_population_proxy,recommended_beneficiaries
29,Dadaab,Garissa,KE007030,Very High,28.654642158415637,0.024563780178230164,0.6795203836930456,0.0010020928314317485,0.0,0.003908750042319298,0.291,55.2501,30.3679,0.55,P4,-78631526400.0,-1931487529.568302,83
30,Wajir East,Wajir,KE008034,Very High,27.468343365179305,0.02990118923694412,0.6418568002740664,0.00048204616354382234,0.9794896984776706,0.0004062499695767959,0.3956,73.1124,42.8622,0.3,P3,-48015392768.0,-1435717345.442166,49
31,Baringo South,Baringo,KE030160,Very High,26.01771957425163,0.22014002190956106,0.3202329564919492,0.006273181534145735,0.0,0.10402478490556989,0.2159,46.8917,17.5521,0.15,P2,-14474641408.0,-3186447876.69016,14
32,Samburu East,Samburu,KE025135,Very High,25.92088003550936,0.008572849284297236,0.6351627269612881,0.0003756698989317171,0.014462779207927426,0.00036140351572580505,0.4172,70.16,53.6549,0.25,P3,-112263479296.0,-962417888.1354312,108
33,Laisamis,Marsabit,KE010048,Very High,25.80644357786033,0.06471285145468932,0.5480918122644742,0.0029343950190521555,0.0,0.0027955694130731225,0.3466,63.5606,39.9074,0.25,P3,-278740008960.0,-18038060794.307247,266
34,Samburu North,Samburu,KE025134,Very High,25.573006065606986,0.0027749497859243244,0.6351627269612881,6.361238600618584e-05,0.0,0.001705317821317506,0.4172,70.16,53.6549,0.25,P3,-95695757312.0,-265550921.2668005,91
35,Samburu West,Samburu,KE025133,Very High,25.529706301342074,0.0020532870481759233,0.6351627269612881,9.63162598078154e-05,0.0,6.89655154991638e-06,0.4172,70.16,53.6549,0.25,P3,-22570668032.0,-46344060.33878396,21
36,Moyale,Marsabit,KE010045,Very High,24.866637838473764,0.04904942246491319,0.5480918122644742,0.00031614733019971693,1.9785843400765728,0.003970754596422303,0.3466,63.5606,39.9074,0.25,P3,-107654209536.0,-5280376803.65755,99
37,Saku,Marsabit,KE010047,Very High,22.845824379829725,0.015369198154179258,0.5480918122644742,0.0007217133874901761,0.0,3.199999919161201e-05,0.3466,63.5606,39.9074,0.25,P3,-22619060224.0,-347636818.6439703,19
38,Kisauni,Mombasa,KE001003,Very High,22.59902556413365,0.29808470721540553,0.11784857828023296,0.0006461931853245271,14.397464752197266,0.0005292685818858445,0.0518,12.8866,2.2801,0.15,,-168186272.0,-50133755.64677056,0
39,Malindi,Kilifi,KE003016,Very High,21.864057199419523,0.16184756746092038,0.30383007879410756,0.005732580005006676,0.6528260707855225,0.03249491325446537,0.2026,46.3581,13.1869,0.15,P2,-4054300160.0,-656178618.6524203,3
40,Kilifi South,Kilifi,KE003012,Very High,20.71803753695055,0.14274723975310413,0.30383007879410756,0.0004791490710845169,6.676541137695312,0.0010852983221411705,0.2026,46.3581,13.1869,0.15,P2,-1855187584.0,-264822906.84023002,1
41,Ijara,Garissa,KE007032,Very High,20.678394810724924,0.02495965771671837,0.47952038369304556,0.0007368395067295747,0.0,0.01114255316714023,0.291,55.2501,30.3679,0.25,P3,-94920589312.0,-2369185419.496716,0
42,Nyando,Kisumu,KE042242,Very High,20.53075473451312,0.25243161510816375,0.13462144570058238,0.007211379051247139,0.0,0.11882499853769939,0.0654,16.5818,1.848,0.15,,-3129782016.0,-790055929.2353648,0
43,Dujis,Garissa,KE007027,Very High,20.117037681336008,0.015603705560236422,0.47952038369304556,0.0007313842266923154,0.0,6.666666983316342e-05,0.291,55.2501,30.3679,0.25,P3,-5825896960.0,-90905580.78811647,0
44,Magarini,Kilifi,KE003017,Very High,20.031906506511568,0.1313117225791211,0.30383007879410756,0.0046467079169777385,0.16938520110813918,0.03498958032342452,0.2026,46.3581,13.1869,0.15,P2,-72652709888.0,-9540152485.434425,0
45,Fafi,Garissa,KE007031,Very High,19.850906200417544,0.011168180878261947,0.47952038369304556,0.00023089222661548144,0.0,0.0075035348083033705,0.291,55.2501,30.3679,0.25,P3,-191590383616.0,-2139716058.7590823,0
46,Changamwe,Mombasa,KE001001,Very High,19.777687204602582,0.25106240122322104,0.11784857828023296,0.0,12.731892585754395,0.0,0.0518,12.8866,2.2801,0.15,,-22831060.0,-5732020.746071433,0
47,Balambala,Garissa,KE007028,Very High,19.721467143819517,0.009010863268294898,0.47952038369304556,0.00038305960496033665,0.0,0.0010399999943646518,0.291,55.2501,30.3679,0.25,P3,-55083487232.0,-496349771.7884198,0
48,Budalangi,Busia,KE040231,Very High,19.591431417475906,0.19015752145490566,0.2045495032545392,0.0052197320941236025,4.016098716042259,0.0,0.1221,29.2173,5.2813,0.15,,-2363469824.0,-449431563.7653021,0
49,Tigania West,Meru,KE012054,Very High,18.81981510910008,0.15400616822806404,0.23948612538540598,5.899018533360727e-05,0.0,0.18310266733169556,0.1234,29.167,6.4093,0.2,P3,-546649728.0,-84187429.97219345,0
50,Rabai,Kilifi,KE003014,Very High,18.81200560660205,0.11098004091396245,0.30383007879410756,0.0004925548322044568,5.0589479718889505,0.0008999999845400453,0.2026,46.3581,13.1869,0.15,P2,-620119552.0,-68820893.25250806,0
51,Kapenguria,West Pokot,KE024129,Very High,18.590729267373614,0.004540017879773769,0.4579582048646797,0.00010172077248248959,0.0,0.0028500000014901163,0.3546,65.7864,37.0121,0.1,P2,-9552576512.0,-43368868.16238695,0
52,Lunga Lunga,Kwale,KE002008,Very High,18.58176428054577,0.07842508812900018,0.3469064748201439,0.0002874149581688076,2.2580650916466345,0.033309136827786766,0.2105,44.5123,17.2902,0.2,P3,-14111210496.0,-1106672926.7556722,0
53,Kacheliba,West Pokot,KE024131,Very High,18.551199713332466,0.003881191979087962,0.4579582048646797,1.4711273569736011e-05,0.0,0.004277474284172058,0.3546,65.7864,37.0121,0.1,P2,-38234578944.0,-148395741.1212583,0
54,Kinango,Kwale,KE002010,Very High,18.410756417019904,0.07557495707023576,0.3469064748201439,0.0004799368781138274,0.6151044821437401,0.06382180127230558,0.2105,44.5123,17.2902,0.2,P3,-42349404160.0,-3200554401.342064,0
55,Sigor,West Pokot,KE024130,Very High,18.399206087585135,0.001347964883299091,0.4579582048646797,4.080453687858099e-05,0.0,0.000575999990105629,0.3546,65.7864,37.0121,0.1,P2,-17566289920.0,-23678741.9420108,0
56,Pokot South,West Pokot,KE024132,Very High,18.337692676461863,0.0003227413645778979,0.4579582048646797,1.5181797453133986e-05,0.0,0.0,0.3546,65.7864,37.0121,0.1,P2,-3599611904.0,-1161743.6578478052,0
57,Jomvu,Mombasa,KE001002,Very High,17.996696310735345,0.22137921965876714,0.11784857828023296,0.0007946635404508924,10.369902610778809,0.0,0.0518,12.8866,2.2801,0.15,,-66625304.0,-14749457.809048137,0
58,Ganze,Kilifi,KE003015,Very High,17.71544697291954,0.09270406368592063,0.30383007879410756,0.00043396686736315454,1.426006107539921,0.06635828920312829,0.2026,46.3581,13.1869,0.15,P2,-24919355392.0,-2310125509.2720575,0
59,Kisumu East,Kisumu,KE042238,High,17.23346675804552,0.19747681550037044,0.13462144570058238,0.006313333185074203,3.1913247789655412,0.00040144045487977564,0.0654,16.5818,1.848,0.15,,-559006272.0,-110390778.43929389,0
60,Matuga,Kwale,KE002009,High,16.858732958266753,0.04970789942434997,0.3469064748201439,0.00015880041603277416,1.2516981760660808,0.025951185396739414,0.2105,44.5123,17.2902,0.2,P3,-4239816960.0,-210752395.02533326,0
61,Kitui West,Kitui,KE015070,High,16.259135980880316,0.1108577019994841,0.24019184652278175,6.543606677374761e-05,0.0,0.13121671477953592,0.151,37.0811,8.0134,0.15,P2,-769465408.0,-85301166.89897545,0
62,Teso South,Busia,KE040226,High,15.963271654654426,0.12968819207454763,0.2045495032545392,4.518710386109773e-05,4.507216020063921,0.047766665617624916,0.1221,29.2173,5.2813,0.15,,-284611232.0,-36910716.12218963,0
63,Tigania East,Meru,KE012055,High,15.947026735945592,0.10612636200882254,0.23948612538540598,2.4046371425956103e-05,0.0,0.12660000324249268,0.1234,29.167,6.4093,0.2,P3,-5145242624.0,-546045881.337848,0
64,Ruiru,Kiambu,KE022115,High,15.30607491074032,0.20087263140602374,0.08134292565947242,4.1048699396876816e-05,0.0,0.23973828554153442,0.0222,5.8769,0.2213,0.15,,-693475008.0,-139300149.67127335,0
65,Kilifi North,Kilifi,KE003011,High,15.219587121605969,0.0511063994973611,0.30383007879410756,0.0008788894997453732,1.5376547108525815,0.002518807305023074,0.2026,46.3581,13.1869,0.15,P2,-3963577600.0,-202564180.26439172,0
66,Msambweni,Kwale,KE002007,High,15.176545996199895,0.021671450056568942,0.3469064748201439,0.0009616337115758362,0.0,0.0014727306552231312,0.2105,44.5123,17.2902,0.2,P3,-1092187136.0,-23669278.970251072,0
67,Kisumu Central,Kisumu,KE042240,High,14.804123911803657,0.15698776806300602,0.13462144570058238,0.004518351642785365,3.0901219050089517,0.0,0.0654,16.5818,1.848,0.15,,-419202080.0,-65809598.9065697,0
68,Mogotio,Baringo,KE030161,High,14.176180127778364,0.02278103113500661,0.3202329564919492,0.00014835580512854467,0.0,0.023526977747678757,0.2159,46.8917,17.5521,0.15,P2,-8109000704.0,-184731397.51161453,0
69,Nakuru Town East,Nakuru,KE032176,High,13.756837669701627,0.13353094186284714,0.14362452894826994,0.006044109328804527,0.0,0.006044512614607811,0.0727,17.7324,4.137,0.15,,-1092471936.0,-145878806.57280806,0
70,Funyula,Busia,KE040230,High,13.61150779475842,0.09049212774294754,0.2045495032545392,0.0010324775276885072,3.4715731143951416,0.00010393929551355541,0.1221,29.2173,5.2813,0.15,,-445774912.0,-40339120.2813052,0
71,Emgwen,Nandi,KE029155,High,13.561081549608133,0.10157358138235778,0.18666666666666665,4.655661877241154e-05,5.100815166126598,0.0,0.1076,25.7708,5.3463,0.15,,-962422208.0,-97756670.46847647,0
72,Mumias West,Kakamega,KE037204,High,13.509373464800845,0.11024929281576831,0.1723603973963686,0.0,5.586738586425781,9.999999747378752e-05,0.096,23.9991,2.8976,0.15,,-51284452.0,-5654074.565444215,0
73,Tiaty,Baringo,KE030157,High,13.451703825777297,0.010706426101655474,0.3202329564919492,0.00016585733811702518,0.0,0.008607272668318315,0.2159,46.8917,17.5521,0.15,P2,-45778968576.0,-490129144.06895214,0
74,Aldai,Nandi,KE029152,High,13.25643984588096,0.09649621965357157,0.18666666666666665,0.0,4.89267635345459,1.9999999494757503e-05,0.1076,25.7708,5.3463,0.15,,-1011590592.0,-97614667.9651185,0
75,Shinyalu,Kakamega,KE037209,High,13.20835244424783,0.10523227580655138,0.1723603973963686,0.0,5.332315298227163,9.999999747378752e-05,0.096,23.9991,2.8976,0.15,,-2054800640.0,-216231347.6759583,0
76,Baringo North,Baringo,KE030158,High,13.167561547074936,0.00597072145661613,0.3202329564919492,0.00027294999410933617,0.0,0.00020165557918303152,0.2159,46.8917,17.5521,0.15,P2,-10853978112.0,-64806080.002960235,0
77,Ikolomani,Kakamega,KE037210,High,12.96039295444243,0.10109961764312807,0.1723603973963686,0.0,5.126970291137695,0.0,0.096,23.9991,2.8976,0.15,,-1878584.25,-189924.1493854025,0
78,Baringo Central,Baringo,KE030159,High,12.84205295837791,0.0005455783116656628,0.3202329564919492,1.7813332800779346e-05,0.0,0.00020005513215437531,0.2159,46.8917,17.5521,0.15,P2,-2710772992.0,-1478938.9522842374,0
79,Eldama Ravine,Baringo,KE030162,High,12.821149343051566,0.00019718472289328678,0.3202329564919492,0.0,0.0,0.0002363636370070956,0.2159,46.8917,17.5521,0.15,P2,-5458396672.0,-1076312.4352099588,0
80,Matayos,Busia,KE040228,High,12.70048382778668,0.07530839496008518,0.2045495032545392,0.0,3.7950706481933594,0.0005666666353742281,0.1221,29.2173,5.2813,0.15,,-161709760.0,-12178102.474980583,0
81,Emuhaya,Vihiga,KE038215,High,12.549725573876335,0.10790367106397757,0.15188763275094208,0.0,5.467787265777588,9.999999747378752e-05,0.0794,19.5908,2.1217,0.15,,97099.859375,10477.431286358478,0
82,Butula,Busia,KE040229,High,12.548054649979456,0.07276790866329813,0.2045495032545392,0.0,3.6891531944274902,2.499999936844688e-05,0.1221,29.2173,5.2813,0.15,,-58544892.0,-4260189.353758654,0
