admin2_name,admin1_name,admin2_pcode,worldpop_raster_nodata,worldpop_raw_sum,worldpop_clean_sum,worldpop_negative_cell_count,worldpop_valid_cell_count
Buret,Kericho,KE035191,-99999.0,223564.89059258183,223564.89059258183,0,35163
Butere,Kakamega,KE037207,-99999.0,166092.63944378844,166092.63944378844,0,24446
Butula,Busia,KE040229,-99999.0,154525.06751572422,154525.06751572422,0,27828
Buuri,Meru,KE012057,-99999.0,152270.96523872635,152270.96523872635,0,56850
Cental Imenti,Meru,KE012058,-99999.0,184747.65341963255,184747.65341963255,0,50727
Changamwe,Mombasa,KE001001,-99999.0,168708.6236379707,168708.6236379707,0,2434
Chepalungu,Bomet,KE036195,-99999.0,251881.64992225933,251881.64992225933,0,59513
Cherangany,Trans Nzoia,KE026140,-99999.0,261359.03575747518,261359.03575747518,0,66960
Chesumei,Nandi,KE029154,-99999.0,197639.69787831456,197639.69787831456,0,46834
Dadaab,Garissa,KE007030,-99999.0,293855.8696294507,293855.8696294507,0,24002
Dagoretti,Nairobi,KE047276,-99999.0,400270.9518843293,400270.9518843293,0,2861
Dujis,Garissa,KE007027,-99999.0,245008.42132761737,245008.42132761737,0,8253
Eldama Ravine,Baringo,KE030162,-99999.0,149607.9422032291,149607.9422032291,0,54548
Eldas,Wajir,KE008037,-99999.0,146488.6345593608,146488.6345593608,0,24144
Embakasi Central,Nairobi,KE047284,-99999.0,304750.4969654083,304750.4969654083,0,955
Embakasi East,Nairobi,KE047285,-99999.0,787341.1534135053,787341.1534135053,0,6528
Embakasi North,Nairobi,KE047283,-99999.0,117957.61443080008,117957.61443080008,0,631
Embakasi South,Nairobi,KE047282,-99999.0,280519.80312353745,280519.80312353745,0,2025
Embakasi West,Nairobi,KE047286,-99999.0,331657.21076107025,331657.21076107025,0,1143
Emgwen,Nandi,KE029155,-99999.0,168120.85280743032,168120.85280743032,0,32812
Emuhaya,Vihiga,KE038215,-99999.0,97099.86149855983,97099.86149855983,0,10448
Emurua Dikirr,Narok,KE033178,-99999.0,138404.7689855366,138404.7689855366,0,37069
Endebess,Trans Nzoia,KE026137,-99999.0,130375.63595756749,130375.63595756749,0,26025
Fafi,Garissa,KE007031,-99999.0,200931.06311382016,200931.06311382016,0,24498
Funyula,Busia,KE040230,-99999.0,120623.21281013679,120623.21281013679,0,27511
Gachoka,Embu,KE014065,-99999.0,195261.56307947752,195261.56307947752,0,121671
Galole,Tana River,KE004019,-99999.0,206303.1248984295,206303.1248984295,0,25562
Ganze,Kilifi,KE003015,-99999.0,192269.54472888797,192269.54472888797,0,94647
Garsen,Tana River,KE004018,-99999.0,121713.66963240645,121713.66963240645,0,48893
Gatanga,Murang'a,KE021110,-99999.0,181427.99816449464,181427.99816449464,0,45874
Gatundu North,Kiambu,KE022112,-99999.0,118126.70212669589,118126.70212669589,0,18966
Gatundu South,Kiambu,KE022111,-99999.0,128594.87133355101,128594.87133355101,0,21659
Gem,Siaya,KE041235,-99999.0,202469.7509034649,202469.7509034649,0,46525
Gichugu,Kirinyaga,KE020101,-99999.0,276168.7656412724,276168.7656412724,0,26149
Gilgil,Nakuru,KE032169,-99999.0,269165.74152943643,269165.74152943643,0,77641
Githunguri,Kiambu,KE022116,-99999.0,177876.605426245,177876.605426245,0,19911
Hamisi,Vihiga,KE038213,-99999.0,166675.34397360467,166675.34397360467,0,18294
Homa Bay,Homa Bay,KE043249,-99999.0,144900.22048416338,144900.22048416338,0,21511
Igembe Central,Meru,KE012052,-99999.0,240737.96982992347,240737.96982992347,0,35846
Igembe North,Meru,KE012053,-99999.0,186431.27071354724,186431.27071354724,0,22082
Igembe South,Meru,KE012051,-99999.0,191179.8681861672,191179.8681861672,0,23115
Ijara,Garissa,KE007032,-99999.0,168538.75544475904,168538.75544475904,0,13317
Ikolomani,Kakamega,KE037210,-99999.0,121395.84245275662,121395.84245275662,0,16793
Isiolo North,Isiolo,KE011049,-99999.0,242486.5003493256,242486.5003493256,0,48223
Isiolo South,Isiolo,KE011050,-99999.0,172279.63656660053,172279.63656660053,0,19472
Jomvu,Mombasa,KE001002,-99999.0,174030.93775951187,174030.93775951187,0,3052
Juja,Kiambu,KE022113,-99999.0,684712.3036449522,684712.3036449522,0,33507
Kabete,Kiambu,KE022119,-99999.0,203581.4632378905,203581.4632378905,0,6525
Kabondo Kasipul,Homa Bay,KE043246,-99999.0,132284.71011072793,132284.71011072793,0,28641
Kabuchai,Bungoma,KE039218,-99999.0,210307.8809371717,210307.8809371717,0,26646
Kacheliba,West Pokot,KE024131,-99999.0,132999.41604645032,132999.41604645032,0,98863
Kaiti,Makueni,KE017085,-99999.0,136423.7456983063,136423.7456983063,0,45335
Kajiado Central,Kajiado,KE034184,-99999.0,206594.17519298993,206594.17519298993,0,132368
Kajiado East,Kajiado,KE034186,-99999.0,447325.1339308228,447325.1339308228,0,134273
Kajiado North,Kajiado,KE034183,-99999.0,416423.2130579176,416423.2130579176,0,11764
Kajiado South,Kajiado,KE034187,-99999.0,236407.89729819004,236407.89729819004,0,100346
Kajiado West,Kajiado,KE034185,-99999.0,273128.4877197888,273128.4877197888,0,130727
Kaloleni,Kilifi,KE003013,-99999.0,201526.5208432924,201526.5208432924,0,51198
Kamukunji,Nairobi,KE047288,-99999.0,304116.5419779867,304116.5419779867,0,989
